time_minutes,glucose_actual_mgdl,glucose_to_algo_mgdl,delivered_insulin_units,algo_recommended_insulin_units,sensor_status,pump_status,pump_reason,basal_insulin_units,bolus_insulin_units,correction_bolus_units,carb_intake_grams,patient_iob_units,patient_cob_grams,uncertainty,fallback_triggered,safety_level,safety_actions,safety_reason,safety_triggered,supervisor_latency_ms,human_intervention,human_intervention_note,algorithm_why_log
0,135.0,135.0,0.7666666666666666,0.7666666666666666,ok,ok,approved,0.06666666666666667,0.0,0.7,0.0,0.7538888888888888,0.0,0.0,False,safe,,APPROVED,False,0.010929999987752126,False,,"[{'reason': 'Basal insulin calculated (0.8 U/hr)', 'category': 'basal_delivery', 'value': 0.06666666666666667, 'clinical_impact': ''}, {'reason': 'No meal bolus needed (no carb intake)', 'category': 'meal_response', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'Correction bolus calculated for high glucose (Current: 135mg/dL, Target: 100mg/dL, ISF: 50.0)', 'category': 'glucose_correction', 'value': 0.7, 'clinical_impact': ''}, {'reason': 'Final total insulin delivered: 0.77 U (Basal: 0.07, Meal Bolus: 0.00, Correction Bolus: 0.70)', 'category': 'final_decision', 'value': 0.7666666666666666, 'clinical_impact': ''}]"
5,114.66481481481482,114.66481481481482,0.0,0.35996296296296304,ok,ok,approved,0.06666666666666667,0.0,0.2932962962962964,0.0,0.741111111111111,0.0,0.0,False,safe,NEGATIVE_TREND_LIMIT: Glucose dropping at -4.07 mg/dL/min,NEGATIVE_TREND_LIMIT: Glucose dropping at -4.07 mg/dL/min,True,0.01616099999068865,False,,"[{'reason': 'Basal insulin calculated (0.8 U/hr)', 'category': 'basal_delivery', 'value': 0.06666666666666667, 'clinical_impact': ''}, {'reason': 'No meal bolus needed (no carb intake)', 'category': 'meal_response', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'Correction bolus calculated for high glucose (Current: 115mg/dL, Target: 100mg/dL, ISF: 50.0)', 'category': 'glucose_correction', 'value': 0.2932962962962964, 'clinical_impact': ''}, {'reason': 'Final total insulin delivered: 0.36 U (Basal: 0.07, Meal Bolus: 0.00, Correction Bolus: 0.29)', 'category': 'final_decision', 'value': 0.35996296296296304, 'clinical_impact': ''}]"
10,97.29472222222222,97.29472222222222,0.0,0.06666666666666667,ok,ok,approved,0.06666666666666667,0.0,0.0,0.0,0.7283333333333333,0.0,0.0,False,safe,NEGATIVE_TREND_LIMIT: Glucose dropping at -3.77 mg/dL/min,NEGATIVE_TREND_LIMIT: Glucose dropping at -3.77 mg/dL/min,True,0.010669999994661339,False,,"[{'reason': 'Basal insulin calculated (0.8 U/hr)', 'category': 'basal_delivery', 'value': 0.06666666666666667, 'clinical_impact': ''}, {'reason': 'No meal bolus needed (no carb intake)', 'category': 'meal_response', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'No correction bolus needed (glucose at or below target: 100mg/dL)', 'category': 'glucose_correction', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'Final total insulin delivered: 0.07 U (Basal: 0.07, Meal Bolus: 0.00, Correction Bolus: 0.00)', 'category': 'final_decision', 'value': 0.06666666666666667, 'clinical_impact': ''}]"
15,82.44495833333333,82.44495833333333,0.0,0.06666666666666667,ok,ok,approved,0.06666666666666667,0.0,0.0,0.0,0.7155555555555555,0.0,0.0,False,safe,NEGATIVE_TREND_LIMIT: Glucose dropping at -3.22 mg/dL/min,NEGATIVE_TREND_LIMIT: Glucose dropping at -3.22 mg/dL/min,True,0.010169000006499118,False,,"[{'reason': 'Basal insulin calculated (0.8 U/hr)', 'category': 'basal_delivery', 'value': 0.06666666666666667, 'clinical_impact': ''}, {'reason': 'No meal bolus needed (no carb intake)', 'category': 'meal_response', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'No correction bolus needed (glucose at or below target: 100mg/dL)', 'category': 'glucose_correction', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'Final total insulin delivered: 0.07 U (Basal: 0.07, Meal Bolus: 0.00, Correction Bolus: 0.00)', 'category': 'final_decision', 'value': 0.06666666666666667, 'clinical_impact': ''}]"
20,69.73747384259259,69.73747384259259,0.0,0.06666666666666667,ok,ok,approved,0.06666666666666667,0.0,0.0,0.0,0.7027777777777777,0.0,0.0,False,critical,HYPO_CUTOFF: Glucose below safety cutoff; CRITICAL: Hypoglycemia - insulin limited; NEGATIVE_TREND_LIMIT: Glucose dropping at -2.76 mg/dL/min,HYPO_CUTOFF: Glucose below safety cutoff; CRITICAL: Hypoglycemia - insulin limited; NEGATIVE_TREND_LIMIT: Glucose dropping at -2.76 mg/dL/min,True,0.011572000005344307,False,,"[{'reason': 'Basal insulin calculated (0.8 U/hr)', 'category': 'basal_delivery', 'value': 0.06666666666666667, 'clinical_impact': ''}, {'reason': 'No meal bolus needed (no carb intake)', 'category': 'meal_response', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'No correction bolus needed (glucose at or below target: 100mg/dL)', 'category': 'glucose_correction', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'Final total insulin delivered: 0.07 U (Basal: 0.07, Meal Bolus: 0.00, Correction Bolus: 0.00)', 'category': 'final_decision', 'value': 0.06666666666666667, 'clinical_impact': ''}]"
25,58.85092684027778,58.85092684027778,0.0,0.06666666666666667,ok,ok,approved,0.06666666666666667,0.0,0.0,0.0,0.69,0.0,0.0,False,critical,HYPO_CUTOFF: Glucose below safety cutoff; CRITICAL: Hypoglycemia - insulin limited; NEGATIVE_TREND_LIMIT: Glucose dropping at -2.36 mg/dL/min,HYPO_CUTOFF: Glucose below safety cutoff; CRITICAL: Hypoglycemia - insulin limited; NEGATIVE_TREND_LIMIT: Glucose dropping at -2.36 mg/dL/min,True,0.009949000002507091,False,,"[{'reason': 'Basal insulin calculated (0.8 U/hr)', 'category': 'basal_delivery', 'value': 0.06666666666666667, 'clinical_impact': ''}, {'reason': 'No meal bolus needed (no carb intake)', 'category': 'meal_response', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'No correction bolus needed (glucose at or below target: 100mg/dL)', 'category': 'glucose_correction', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'Final total insulin delivered: 0.07 U (Basal: 0.07, Meal Bolus: 0.00, Correction Bolus: 0.00)', 'category': 'final_decision', 'value': 0.06666666666666667, 'clinical_impact': ''}]"
30,49.512176703125,49.512176703125,0.0,0.06666666666666667,ok,ok,approved,0.06666666666666667,0.0,0.0,0.0,0.6772222222222222,0.0,0.0,False,emergency,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected; NEGATIVE_TREND_LIMIT: Glucose dropping at -2.02 mg/dL/min,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected; NEGATIVE_TREND_LIMIT: Glucose dropping at -2.02 mg/dL/min,True,0.0164409999996451,False,,"[{'reason': 'Basal insulin calculated (0.8 U/hr)', 'category': 'basal_delivery', 'value': 0.06666666666666667, 'clinical_impact': ''}, {'reason': 'No meal bolus needed (no carb intake)', 'category': 'meal_response', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'No correction bolus needed (glucose at or below target: 100mg/dL)', 'category': 'glucose_correction', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'Final total insulin delivered: 0.07 U (Basal: 0.07, Meal Bolus: 0.00, Correction Bolus: 0.00)', 'category': 'final_decision', 'value': 0.06666666666666667, 'clinical_impact': ''}]"
35,41.48905390135995,41.48905390135995,0.0,0.06666666666666667,ok,ok,approved,0.06666666666666667,0.0,0.0,0.0,0.6644444444444444,0.0,0.0,False,emergency,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,True,0.0069430000024794936,False,,"[{'reason': 'Basal insulin calculated (0.8 U/hr)', 'category': 'basal_delivery', 'value': 0.06666666666666667, 'clinical_impact': ''}, {'reason': 'No meal bolus needed (no carb intake)', 'category': 'meal_response', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'No correction bolus needed (glucose at or below target: 100mg/dL)', 'category': 'glucose_correction', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'Final total insulin delivered: 0.07 U (Basal: 0.07, Meal Bolus: 0.00, Correction Bolus: 0.00)', 'category': 'final_decision', 'value': 0.06666666666666667, 'clinical_impact': ''}]"
40,34.58421433467448,34.58421433467448,0.0,0.06666666666666667,ok,ok,approved,0.06666666666666667,0.0,0.0,0.0,0.6516666666666666,0.0,0.0,False,emergency,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,True,0.00596099999938815,False,,"[{'reason': 'Basal insulin calculated (0.8 U/hr)', 'category': 'basal_delivery', 'value': 0.06666666666666667, 'clinical_impact': ''}, {'reason': 'No meal bolus needed (no carb intake)', 'category': 'meal_response', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'No correction bolus needed (glucose at or below target: 100mg/dL)', 'category': 'glucose_correction', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'Final total insulin delivered: 0.07 U (Basal: 0.07, Meal Bolus: 0.00, Correction Bolus: 0.00)', 'category': 'final_decision', 'value': 0.06666666666666667, 'clinical_impact': ''}]"
45,28.62991551780664,28.62991551780664,0.0,0.06666666666666667,ok,ok,approved,0.06666666666666667,0.0,0.0,0.0,0.6388888888888888,0.0,0.0,False,emergency,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,True,0.0057110000000193395,False,,"[{'reason': 'Basal insulin calculated (0.8 U/hr)', 'category': 'basal_delivery', 'value': 0.06666666666666667, 'clinical_impact': ''}, {'reason': 'No meal bolus needed (no carb intake)', 'category': 'meal_response', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'No correction bolus needed (glucose at or below target: 100mg/dL)', 'category': 'glucose_correction', 'value': 0.0, 'clinical_impact': ''}, {'reason': 'Final total insulin delivered: 0.07 U (Basal: 0.07, Meal Bolus: 0.00, Correction Bolus: 0.00)', 'category': 'final_decision', 'value': 0.06666666666666667, 'clinical_impact': ''}]"
