time_minutes,glucose_actual_mgdl,glucose_to_algo_mgdl,delivered_insulin_units,algo_recommended_insulin_units,sensor_status,pump_status,pump_reason,basal_insulin_units,bolus_insulin_units,correction_bolus_units,carb_intake_grams,patient_iob_units,patient_cob_grams,uncertainty,fallback_triggered,safety_level,safety_actions,safety_reason,safety_triggered,supervisor_latency_ms,human_intervention,human_intervention_note,algorithm_why_log
0,140.0,140.0,0.5,0.5,ok,ok,approved,0.5,0.0,0.0,0.0,0.49166666666666664,0.0,0.0,False,safe,,APPROVED,False,0.012294000001134009,False,,[]
5,118.94444444444444,118.94444444444444,0.0,0.5,ok,ok,approved,0.5,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,False,safe,NEGATIVE_TREND_LIMIT: Glucose dropping at -4.21 mg/dL/min,NEGATIVE_TREND_LIMIT: Glucose dropping at -4.21 mg/dL/min,True,0.020508000005747817,False,,[]
10,100.99166666666666,100.99166666666666,0.0,0.5,ok,ok,approved,0.5,0.0,0.0,0.0,0.475,0.0,0.0,False,safe,NEGATIVE_TREND_LIMIT: Glucose dropping at -3.90 mg/dL/min,NEGATIVE_TREND_LIMIT: Glucose dropping at -3.90 mg/dL/min,True,0.010791000008225637,False,,[]
15,85.67625,85.67625,0.0,0.5,ok,ok,approved,0.5,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,False,safe,NEGATIVE_TREND_LIMIT: Glucose dropping at -3.33 mg/dL/min,NEGATIVE_TREND_LIMIT: Glucose dropping at -3.33 mg/dL/min,True,0.08433800000773317,False,,[]
20,72.60259027777778,72.60259027777778,0.0,0.5,ok,ok,approved,0.5,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,False,safe,NEGATIVE_TREND_LIMIT: Glucose dropping at -2.84 mg/dL/min,NEGATIVE_TREND_LIMIT: Glucose dropping at -2.84 mg/dL/min,True,0.01287400000649086,False,,[]
25,61.43442395833333,61.43442395833333,0.0,0.5,ok,ok,approved,0.5,0.0,0.0,0.0,0.45,0.0,0.0,False,critical,HYPO_CUTOFF: Glucose below safety cutoff; CRITICAL: Hypoglycemia - insulin limited; NEGATIVE_TREND_LIMIT: Glucose dropping at -2.42 mg/dL/min,HYPO_CUTOFF: Glucose below safety cutoff; CRITICAL: Hypoglycemia - insulin limited; NEGATIVE_TREND_LIMIT: Glucose dropping at -2.42 mg/dL/min,True,0.012103000003094166,False,,[]
30,51.88592703125,51.88592703125,0.0,0.5,ok,ok,approved,0.5,0.0,0.0,0.0,0.44166666666666665,0.0,0.0,False,emergency,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected; NEGATIVE_TREND_LIMIT: Glucose dropping at -2.07 mg/dL/min,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected; NEGATIVE_TREND_LIMIT: Glucose dropping at -2.07 mg/dL/min,True,0.009789000003479487,False,,[]
35,43.71414908767361,43.71414908767361,0.0,0.5,ok,ok,approved,0.5,0.0,0.0,0.0,0.43333333333333335,0.0,0.0,False,emergency,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,True,0.014225999990458149,False,,[]
40,36.712582280078124,36.712582280078124,0.0,0.5,ok,ok,approved,0.5,0.0,0.0,0.0,0.425,0.0,0.0,False,emergency,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,True,0.006712999990554636,False,,[]
45,30.705694938066404,30.705694938066404,0.0,0.5,ok,ok,approved,0.5,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,False,emergency,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,True,0.0058010000003605455,False,,[]
50,25.544285141800888,25.544285141800888,0.0,0.5,ok,ok,approved,0.5,0.0,0.0,0.0,0.4083333333333333,0.0,0.0,False,emergency,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,True,0.005118999993669604,False,,[]
55,21.101531259419644,21.101531259419644,0.0,0.5,ok,ok,approved,0.5,0.0,0.0,0.0,0.4,0.0,0.0,False,emergency,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,True,0.005099999995650251,False,,[]
60,20.0,20.0,0.0,0.5,ok,ok,approved,0.5,0.0,0.0,0.0,0.39166666666666666,0.0,0.0,False,emergency,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,True,0.010068999998225081,False,,[]
65,20.0,20.0,0.0,0.5,ok,ok,approved,0.5,0.0,0.0,0.0,0.38333333333333336,0.0,0.0,False,emergency,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,HYPO_CUTOFF: Glucose below safety cutoff; EMERGENCY_STOP: Severe hypoglycemia detected,True,0.005850999997392137,False,,[]
