timestamp,glucose,carbs,insulin
0,105.5,0.0,0.0
5,106.7,0.0,0.0
10,107.6,0.0,0.0
15,108.0,0.0,0.0
20,107.9,0.0,0.0
25,107.4,0.0,0.0
30,107.0,0.0,0.0
35,106.7,0.0,0.0
40,106.7,0.0,0.0
45,106.9,0.0,0.0
50,107.2,0.0,0.0
55,107.3,0.0,0.0
60,107.0,0.0,0.0
65,106.3,0.0,0.0
70,105.4,0.0,0.0
75,104.7,0.0,0.0
80,104.2,0.0,0.0
85,104.4,0.0,0.0
90,105.1,0.0,0.0
95,106.1,0.0,0.0
100,107.3,0.0,0.0
105,108.2,0.0,0.0
110,108.7,0.0,0.0
115,108.8,0.0,0.0
120,108.8,0.0,0.0
125,108.8,0.0,0.0
130,109.1,0.0,0.0
135,109.8,0.0,0.0
140,110.5,0.0,0.0
145,111.3,0.0,0.0
150,111.6,0.0,0.0
155,111.5,0.0,0.0
160,110.9,0.0,0.0
165,110.0,0.0,0.0
170,109.1,0.0,0.0
175,108.6,0.0,0.0
180,108.7,0.0,0.0
185,109.2,0.0,0.0
190,110.0,0.0,0.0
195,110.9,0.0,0.0
200,111.5,0.0,0.0
205,111.9,0.0,0.0
210,112.1,0.0,0.0
215,112.3,0.0,0.0
220,112.8,0.0,0.0
225,113.6,0.0,0.0
230,114.9,0.0,0.0
235,116.3,0.0,0.0
240,117.6,0.0,0.0
245,118.6,0.0,0.0
250,118.9,0.0,0.0
255,118.8,0.0,0.0
260,118.3,0.0,0.0
265,117.8,0.0,0.0
270,117.5,0.0,0.0
275,117.6,0.0,0.0
280,118.1,0.0,0.0
285,118.7,0.0,0.0
290,119.2,0.0,0.0
295,119.4,0.0,0.0
300,119.3,0.0,0.0
305,119.0,0.0,0.0
310,118.9,0.0,0.0
315,119.1,0.0,0.0
320,119.7,0.0,0.0
325,120.9,0.0,0.0
330,122.2,0.0,0.0
335,123.5,0.0,0.0
340,124.4,0.0,0.0
345,124.8,0.0,0.0
350,124.7,0.0,0.0
355,124.2,0.0,0.0
360,123.8,0.0,0.0
365,123.5,0.0,0.0
370,123.5,0.0,0.0
375,123.7,0.0,0.0
380,123.8,0.0,0.0
385,123.6,0.0,0.0
390,123.0,0.0,0.0
395,122.1,0.0,0.0
400,120.9,0.0,0.0
405,119.9,0.0,0.0
410,119.3,0.0,0.0
415,119.3,0.0,0.0
420,119.7,0.0,3.3
425,113.0,0.0,0.0
430,113.2,46.0,0.0
435,129.8,0.0,0.0
440,133.3,0.0,0.0
445,136.9,0.0,0.0
450,140.9,0.0,0.0
455,145.2,0.0,0.0
460,149.9,0.0,0.0
465,154.9,0.0,0.0
470,159.7,0.0,0.0
475,164.0,0.0,0.0
480,167.2,0.0,0.0
485,169.0,0.0,0.0
490,169.4,0.0,0.0
495,168.4,0.0,0.0
500,165.0,0.0,0.0
505,161.2,0.0,0.0
510,157.3,0.0,0.0
515,153.3,0.0,0.0
520,149.2,0.0,0.0
525,145.0,0.0,0.0
530,140.5,0.0,0.0
535,136.0,0.0,0.0
540,131.6,0.0,0.0
545,127.7,0.0,0.0
550,124.6,0.0,0.0
555,122.4,0.0,0.0
560,121.2,0.0,0.0
565,120.5,0.0,0.0
570,120.1,0.0,0.0
575,119.6,0.0,0.0
580,118.9,0.0,0.0
585,117.9,0.0,0.0
590,116.9,0.0,0.0
595,116.0,0.0,0.0
600,115.5,0.0,0.0
605,115.5,0.0,0.0
610,115.8,0.0,0.0
615,116.2,0.0,0.0
620,116.5,0.0,0.0
625,116.5,0.0,0.0
630,116.2,0.0,0.0
635,115.7,0.0,0.0
640,115.5,0.0,0.0
645,115.6,0.0,0.0
650,116.2,0.0,0.0
655,117.3,0.0,0.0
660,118.6,0.0,0.0
665,119.7,0.0,0.0
670,120.4,0.0,0.0
675,120.6,0.0,0.0
680,120.4,0.0,0.0
685,119.9,0.0,0.0
690,119.5,0.0,0.0
695,119.3,0.0,0.0
700,119.3,0.0,0.0
705,119.5,0.0,0.0
710,119.7,0.0,0.0
715,119.5,0.0,0.0
720,118.8,0.0,0.0
725,117.9,0.0,5.7
730,101.6,0.0,0.0
735,99.9,68.0,0.0
740,124.9,0.0,0.0
745,129.9,0.0,0.0
750,136.1,0.0,0.0
755,142.9,0.0,0.0
760,150.1,0.0,0.0
765,157.1,0.0,0.0
770,163.6,0.0,0.0
775,169.6,0.0,0.0
780,174.9,0.0,0.0
785,179.6,0.0,0.0
790,183.5,0.0,0.0
795,186.4,0.0,0.0
800,188.1,0.0,0.0
805,186.8,0.0,0.0
810,183.0,0.0,0.0
815,178.1,0.0,0.0
820,171.8,0.0,0.0
825,164.7,0.0,0.0
830,157.2,0.0,0.0
835,150.0,0.0,0.0
840,143.3,0.0,0.0
845,137.4,0.0,0.0
850,132.1,0.0,0.0
855,127.2,0.0,0.0
860,122.8,0.0,0.0
865,118.8,0.0,0.0
870,115.3,0.0,0.0
875,112.5,0.0,0.0
880,110.6,0.0,0.0
885,109.7,0.0,0.0
890,109.6,0.0,0.0
895,110.0,0.0,0.0
900,110.4,0.0,0.0
905,110.5,0.0,0.0
910,110.3,0.0,0.0
915,109.7,0.0,0.0
920,108.9,0.0,0.0
925,108.3,0.0,0.0
930,108.0,0.0,0.0
935,108.1,0.0,0.0
940,108.5,0.0,0.0
945,108.9,0.0,0.0
950,109.1,0.0,0.0
955,109.0,0.0,0.0
960,108.5,0.0,0.0
965,108.0,0.0,0.0
970,107.7,0.0,0.0
975,107.9,0.0,0.0
980,108.5,0.0,0.0
985,109.6,0.0,0.0
990,110.8,0.0,0.0
995,111.8,0.0,0.0
1000,112.3,0.0,0.0
1005,112.4,0.0,0.0
1010,112.0,0.0,0.0
1015,111.5,0.0,0.0
1020,111.0,0.0,0.0
1025,110.8,0.0,0.0
1030,110.9,0.0,0.0
1035,111.0,0.0,0.0
1040,111.0,0.0,0.0
1045,110.7,0.0,0.0
1050,109.9,0.0,0.0
1055,108.7,0.0,0.0
1060,107.5,0.0,0.0
1065,106.6,0.0,0.0
1070,106.1,0.0,0.0
1075,106.2,0.0,0.0
1080,106.7,0.0,0.0
1085,107.4,0.0,6.5
1090,90.0,0.0,0.0
1095,89.4,84.0,0.0
1100,122.3,0.0,0.0
1105,127.9,0.0,0.0
1110,134.2,0.0,0.0
1115,141.2,0.0,0.0
1120,148.9,0.0,0.0
1125,157.1,0.0,0.0
1130,165.1,0.0,0.0
1135,172.6,0.0,0.0
1140,178.9,0.0,0.0
1145,183.8,0.0,0.0
1150,187.1,0.0,0.0
1155,188.9,0.0,0.0
1160,189.4,0.0,0.0
1165,187.9,0.0,0.0
1170,183.8,0.0,0.0
1175,179.3,0.0,0.0
1180,173.8,0.0,0.0
1185,167.2,0.0,0.0
1190,159.7,0.0,0.0
1195,151.7,0.0,0.0
1200,143.5,0.0,0.0
1205,135.7,0.0,0.0
1210,128.7,0.0,0.0
1215,122.6,0.0,0.0
